2026-02-26 18:46:55 UTC | TRACE-LOADER | INFO | (pkg/util/log/setup/log.go:60 in SetupLogger) | TRACE-LOADER: using slog logger
2026-02-26 18:46:55 UTC | TRACE | WARN | (comp/trace/config/setup.go:169 in normalizeAPMMode) | invalid value for 'DD_APM_MODE': '', dropping
2026-02-26 18:46:57 UTC | TRACE | INFO | (comp/trace/config/hostname.go:34 in hostname) | Could not get hostname via gRPC: context deadline exceeded. Falling back to other methods.
2026-02-26 18:46:58 UTC | TRACE | INFO | (comp/trace/config/hostname.go:97 in acquireHostnameFallback) | Acquired hostname from core agent (/opt/datadog-agent/bin/agent/agent): "pattykube".
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/runtime/runtime.go:28 in func1) | runtime: set GOMAXPROCS to: 2
2026-02-26 18:46:58 UTC | TRACE | INFO | (comp/trace/agent/impl/agent.go:175 in prepGoRuntime) | Trace Agent final GOMAXPROCS: 2
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/runtime/gomemlimit_linux.go:44 in SetGoMemLimit) | Cgroup memory limit not found, doing nothing
2026-02-26 18:46:58 UTC | TRACE | INFO | (comp/trace/agent/impl/agent.go:193 in prepGoRuntime) | GOMEMLIMIT unconstrained.
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/agent/agent.go:184 in NewAgent) | Starting Agent with processor trace buffer of size 0
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/api/api.go:157 in NewHTTPReceiver) | Receiver configured with 1 decoders and a timeout of 1000ms
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/writer/trace.go:138 in NewTraceWriter) | Trace writer initialized (climt=5 qsize=1 compression=zstd)
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/writer/tracev1.go:116 in NewTraceWriterV1) | Trace writer initialized (climt=5 qsize=1 compression=zstd)
2026-02-26 18:46:58 UTC | TRACE | INFO | (comp/core/tagger/impl-remote/remote.go:124 in func1) | remote tagger initialized successfully
2026-02-26 18:46:58 UTC | TRACE | INFO | (comp/trace/agent/impl/run.go:100 in runAgentSidekicks) | Trace agent running on host pattykube
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (pkg/util/cgroups/pid_mapper.go:110 in getPidMapper) | Usage of cgroupv2 detected but the Agent does not seem to run in host cgroup namespace. Make sure to run with --cgroupns=host, some feature may not work otherwise
2026-02-26 18:46:58 UTC | TRACE | WARN | (comp/trace/agent/impl/run.go:75 in func2) | The /config/set endpoint on this port is deprecated and will be removed. The same endpoint is available on the debug server at 127.0.0.1:5012
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/api/listener.go:41 in NewMeasuredListener) | Listener started with 1000 maximum connections.
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/api/api.go:331 in Start) | Listening for traces at http://0.0.0.0:8126
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/api/api.go:337 in Start) | Using UDS listener at /var/run/datadog/apm.socket
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/api/listener.go:41 in NewMeasuredListener) | Listener started with 1000 maximum connections.
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/api/api.go:369 in Start) | Listening for traces at unix:///var/run/datadog/apm.socket
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/agent/agent.go:254 in Run) | Processing Pipeline configured with 2 workers
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/trace/agent/agent.go:264 in Run) | trace-agent running...
2026-02-26 18:46:58 UTC | TRACE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 1
2026-02-26 18:46:58 UTC | TRACE | WARN | (comp/core/tagger/impl-remote/remote.go:264 in func2) | error received trying to start stream with target ":5001": rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:46:59 UTC | TRACE | WARN | (comp/core/tagger/impl-remote/remote.go:264 in func2) | error received trying to start stream with target ":5001": rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:46:59 UTC | TRACE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 2
2026-02-26 18:47:00 UTC | TRACE | WARN | (comp/core/tagger/impl-remote/remote.go:264 in func2) | error received trying to start stream with target ":5001": rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp :5001: connect: connection refused"
2026-02-26 18:47:00 UTC | TRACE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 3
2026-02-26 18:47:01 UTC | TRACE | INFO | (comp/core/tagger/impl-remote/remote.go:264 in func2) | tagger stream successfully initialized
2026-02-26 18:47:01 UTC | TRACE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 4
2026-02-26 18:47:02 UTC | TRACE | INFO | (comp/core/remoteagent/helper/serverhelper.go:193 in func2) | Registered with Core Agent. Recommended refresh interval of 10 seconds.
2026-02-26 18:47:02 UTC | TRACE | ERROR | (pkg/config/remote/client/client.go:457 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 5
2026-02-26 18:47:03 UTC | TRACE | INFO | (pkg/trace/info/stats.go:93 in LogAndResetStats) | No data received
2026-02-26 18:47:12 UTC | TRACE | INFO | (pkg/config/remote/client/client.go:489 in pollLoop) | first update successful after 6 attempts
2026-02-26 18:48:03 UTC | TRACE | INFO | (pkg/trace/info/stats.go:93 in LogAndResetStats) | No data received
