2026-02-26 18:46:54 UTC | CORE | INFO | (pkg/util/log/setup/log.go:60 in SetupLogger) | CORE: using slog logger
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/workloadmeta.go:126 in Listen) | ad-kubeletlistener initialized successfully
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:532 in initListenerCandidates) | environment listener successfully started
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:532 in initListenerCandidates) | static config listener successfully started
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/logs/agent/agentimpl/agent.go:194 in start) | Starting logs-agent...
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/logs/client/http/destination.go:509 in CheckConnectivity) | Checking HTTP connectivity...
2026-02-26 18:46:57 UTC | CORE | INFO | (pkg/logs/client/http/destination.go:511 in CheckConnectivity) | Sending HTTP connectivity request to https://agent-http-intake.logs.datadoghq.com./api/v2/logs...
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/environment.go:61 in createServices) | Listener created docker service from environment
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/environment.go:61 in createServices) | Listener created kubelet service from environment
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/environment.go:61 in createServices) | Listener created kube_orchestrator service from environment
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/environment.go:61 in createServices) | Listener created kubelet_config_orchestrator service from environment
2026-02-26 18:46:57 UTC | CORE | INFO | (comp/core/autodiscovery/listeners/environment.go:68 in createServices) | Listener created container service from environment
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:664 in startCandidates) | workloadmeta collector "docker" started successfully
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:667 in startCandidates) | workloadmeta collector "podman" could not start. error: component workloadmeta-podman is disabled: Podman not detected
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:667 in startCandidates) | workloadmeta collector "containerd" could not start. error: component workloadmeta-containerd is disabled: Agent is not running on containerd
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/core/workloadmeta/impl/store.go:667 in startCandidates) | workloadmeta collector "cloudfoundry-container" could not start. error: component workloadmeta-cloudfoundry-container is disabled: Agent is not running on CloudFoundry
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:162 in 1) | Workloadmeta collectors are ready, starting autodiscovery scheduler controller
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/core/autodiscovery/scheduler/controller.go:88 in Start) | Autodiscovery scheduler controller started
2026-02-26 18:46:58 UTC | CORE | INFO | (pkg/logs/client/http/destination.go:516 in CheckConnectivity) | HTTP connectivity successful
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/logs/agent/agentimpl/agent.go:294 in func1) | logs-agent started
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/core/agenttelemetry/impl/agenttelemetry.go:606 in start) | Starting agent telemetry for 5 schedules and 13 profiles
2026-02-26 18:46:58 UTC | CORE | INFO | (pkg/collector/runner/runner.go:107 in ensureMinWorkers) | Runner 1 added 4 workers (total: 4)
2026-02-26 18:46:58 UTC | CORE | INFO | (pkg/process/subscribers/gpu_subscriber.go:40 in Run) | Starting GPU subscriber
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:458 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com." (1 api key(s))
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:458 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com." (1 api key(s))
2026-02-26 18:46:58 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:458 in Start) | Forwarder started, sending to 1 endpoint(s) with 1 worker(s) each: "https://process.datadoghq.com." (1 api key(s))
2026-02-26 18:46:58 UTC | CORE | INFO | (pkg/process/runner/submitter.go:194 in printStartMessage) | Starting CheckSubmitter for host=pattykube, endpoints=[https://process.datadoghq.com.]
2026-02-26 18:46:58 UTC | CORE | INFO | (pkg/process/runner/runner.go:283 in Run) | Starting process-component with enabled checks=[process rtprocess]
2026-02-26 18:46:58 UTC | CORE | INFO | (pkg/logs/launchers/container/launcher.go:104 in run) | Starting Container launcher
2026-02-26 18:46:59 UTC | CORE | INFO | (pkg/util/containers/metrics/provider/registry.go:102 in collectorDiscovery) | Container metrics provider discovery process finished
2026-02-26 18:46:59 UTC | CORE | INFO | (pkg/api/security/security.go:178 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2026-02-26 18:46:59 UTC | CORE | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:90 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: "https://10.96.161.153:5005/version" is unavailable: 403 Forbidden
2026-02-26 18:47:00 UTC | CORE | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:90 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/process/checks/process.go:168 in Init) | no network ID detected: failed to get network ID after 4 attempts: no network ID detected and system-probe client not available: could not detect network ID: EC2: GetNetworkID failed to get mac addresses: could not fetch token from IMDSv2: Put "http://169.254.169.254/latest/api/token": dial tcp 169.254.169.254:80: connect: connection refused
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/dogstatsd/listeners/uds_datagram.go:75 in NewUDSDatagramListener) | dogstatsd-uds: /var/run/datadog/dsd.socket successfully initialized
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:204 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  2  workers,  1  pipelines
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:153 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 2 workers and 1 pipelines
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:204 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  2  workers,  1  pipelines
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:153 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 2 workers and 1 pipelines
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:204 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  2  workers,  1  pipelines
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:153 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 2 workers and 1 pipelines
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/remoteagentregistry/impl/registry.go:229 in func1) | Remote Agent registry started.
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/dogstatsd/listeners/uds_datagram.go:89 in listen) | dogstatsd-uds: starting to listen on /var/run/datadog/dsd.socket
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/dogstatsd/listeners/udp.go:128 in listen) | dogstatsd-udp: starting to listen on [::]:8125
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/remote-config/rcservice/rcserviceimpl/rcservice.go:129 in func1) | remote config service started
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/api/api/apiimpl/server.go:32 in startServer) | Started HTTP server 'CMD API Server' on 127.0.0.1:5001
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/config/remote/client/client.go:459 in pollLoop) | retrying the first update of remote-config state (rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing: dial tcp [::1]:5001: connect: connection refused"), consecutive failures: 1
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/metadata/host/hostimpl/hosttags/tags.go:145 in Get) | Adding both tags cluster_name and kube_cluster_name. You can use 'disable_cluster_name_tag_key' in the Agent config to keep the kube_cluster_name tag only
2026-02-26 18:47:01 UTC | CORE | INFO | (cmd/agent/subcommands/run/command.go:600 in startAgent) | Starting Datadog Agent v7.75.4
2026-02-26 18:47:01 UTC | CORE | INFO | (cmd/agent/subcommands/run/command.go:626 in startAgent) | Hostname is: pattykube
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/process/runner/runner.go:235 in logCheckDuration) | Finished process check #1 in 11.862667ms
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/metadata/host/hostimpl/hosttags/tags.go:178 in Get) | Unable to get host tags from source: gce - using cached host tags
2026-02-26 18:47:01 UTC | CORE | ERROR | (pkg/util/kubernetes/hostinfo/tags.go:82 in getNodeInfoTags) | Unable to auto discover node labels: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/config_poller.go:171 in collectOnce) | file provider: collected 67 new configurations, removed 0
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/collector/python/init.go:329 in resolvePythonHome) | Using '/opt/datadog-agent/embedded' as Python home
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/collector/python/init.go:395 in Initialize) | Initializing rtloader with Python 3 /opt/datadog-agent/embedded
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:391 in LoadAndRun) | Started config provider "file"
2026-02-26 18:47:01 UTC | CORE | ERROR | (comp/core/autodiscovery/autodiscoveryimpl/config_poller.go:216 in collect) | Unable to collect configurations from provider cluster-checks: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:389 in LoadAndRun) | Started config provider "cluster-checks", polled every 10s
2026-02-26 18:47:01 UTC | CORE | ERROR | (comp/core/autodiscovery/autodiscoveryimpl/config_poller.go:216 in collect) | Unable to collect configurations from provider endpoints-checks: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:389 in LoadAndRun) | Started config provider "endpoints-checks", polled every 10s
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/config_poller.go:108 in stream) | kubernetes-container-allinone provider: collected 22 new configurations, removed 0
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:463 in processNewConfig) | jmx doesn't have an additional metric configuration file: not collecting default metrics
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:391 in LoadAndRun) | Started config provider "kubernetes-container-allinone"
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:391 in LoadAndRun) | Started config provider "dsm-live-messages"
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/autodiscovery/autodiscoveryimpl/autoconfig.go:391 in LoadAndRun) | Started config provider "dsm-live-messages"
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/transaction/transaction.go:462 in internalProcess) | Successfully posted payload to "https://7-75-4-app.agent.datadoghq.com./intake/" (202 Accepted), the agent will only log transaction success every 500 transactions
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/config/remote/service/service.go:329 in poll) | [Remote Config] Remote Configuration is enabled for this organization and agent.
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/collector/python/embed_python.go:21 in InitPython) | Embedding Python 3.13.11 (main, Feb 16 2026, 09:34:23) [GCC 12.3.0]
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/core/tagger/server/server.go:165 in TaggerStreamEntities) | tagger server has just finished initialization for subscription "streaming-client-trace_agent:d22a97ea-10f1-46aa-8e3a-46b8e5181a15" at time 1772131621
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/util/cloudproviders/cloudproviders.go:184 in GetHostCCRID) | No Host CCRID, no cloudprovider detected
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/metadata/host/hostimpl/hosttags/tags.go:145 in Get) | Adding both tags cluster_name and kube_cluster_name. You can use 'disable_cluster_name_tag_key' in the Agent config to keep the kube_cluster_name tag only
2026-02-26 18:47:01 UTC | CORE | INFO | (pkg/api/security/security.go:178 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2026-02-26 18:47:01 UTC | CORE | INFO | (comp/metadata/host/hostimpl/hosttags/tags.go:178 in Get) | Unable to get host tags from source: gce - using cached host tags
2026-02-26 18:47:01 UTC | CORE | ERROR | (pkg/util/kubernetes/hostinfo/tags.go:82 in getNodeInfoTags) | Unable to auto discover node labels: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:47:01 UTC | CORE | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:90 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:47:02 UTC | CORE | INFO | (comp/core/remoteagentregistry/impl/registry.go:200 in RegisterRemoteAgent) | Remote agent 'Trace Agent' (flavor: trace_agent, session_id: 2a63b5ae-7c14-43f4-9a1f-fabee7a2d449) registered. (exposed services: [])
2026-02-26 18:47:02 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:93 in Enter) | Scheduling check coredns:ed54ae8994d722a with an interval of 15s
2026-02-26 18:47:02 UTC | CORE | INFO | (pkg/collector/scheduler/scheduler.go:93 in Enter) | Scheduling check datadog_cluster_agent:e194f0fb2aae1489 with an interval of 15s
2026-02-26 18:47:02 UTC | CORE | ERROR | (pkg/util/kubernetes/hostinfo/tags.go:82 in getNodeInfoTags) | Unable to auto discover node labels: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2026-02-26 18:47:02 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:148 in LogMessage) | unknown | (base_check.py:124) | Couldn't connect to https://172.17.0.2:2379/metrics: HTTPSConnectionPool(host='172.17.0.2', port=2379): Max retries exceeded with url: /metrics (Caused by SSLError(SSLError(1, '[SSL: TLSV13_ALERT_CERTIFICATE_REQUIRED] tlsv13 alert certificate required (_ssl.c:2658)'))), trying next possible URL.
2026-02-26 18:47:02 UTC | CORE | INFO | (pkg/collector/python/datadog_agent.go:148 in LogMessage) | unknown | (base_check.py:124) | Couldn't connect to http://172.17.0.2:2379/metrics: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')), trying next possible URL.
2026-02-26 18:47:02 UTC | CORE | WARN | (pkg/collector/python/check.go:334 in Configure) | could not get a 'etcd' check instance with the new api: Traceback (most recent call last):
  File "/opt/datadog-agent/embedded/lib/python3.13/site-packages/datadog_checks/etcd/etcd.py", line 73, in __init__
    super(Etcd, self).__init__(
    ~~~~~~~~~~~~~~~~~~~~~~~~~~^
        name,
        ^^^^^
    ...<12 lines>...
        default_namespace='etcd',
        ^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "/opt/datadog-agent/embedded/lib/python3.13/site-packages/datadog_checks/base/checks/openmetrics/base_check.py", line 126, in __init__
    raise CheckException(
        "The agent could not connect to any of the following URLs: %s." % possible_urls
    )
datadog_checks.base.errors.CheckException: The agent could not connect to any of the following URLs: ['https://172.17.0.2:2379/metrics', 'http://172.17.0.2:2379/metrics'].
2026-02-26 18:47:02 UTC | CORE | WARN | (pkg/collector/python/check.go:335 in Configure) | trying to instantiate the check with the old api, passing agentConfig to the constructor
2026-02-26 18:47:02 UTC | CORE | INFO | (comp/core/tagger/server/server.go:165 in TaggerStreamEntities) | tagger server has just finished initialization for subscription "streaming-client-process_agent:c60e9fc4-70e3-48a4-bc7c-5ad7393b88f5" at time 1772131622
2026-02-26 18:47:02 UTC | CORE | INFO | (comp/core/remoteagentregistry/impl/registry.go:200 in RegisterRemoteAgent) | Remote agent 'Process Agent' (flavor: process_agent, session_id: 2667a8b1-fe8b-4cf1-9041-14ce4a81c89d) registered. (exposed services: [datadog.remoteagent.telemetry.v1.TelemetryProvider])
2026-02-26 18:47:02 UTC | CORE | ERROR | (pkg/util/kubernetes/hostinfo/tags.go:82 in getNodeInfoTags) | Unable to auto discover node labels: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
